"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"ATGL","3565.50","368952.00","452674.52","-2.98","0.03","5.98","65.91","153.16","3598.13","3601.62","3610.24","3590.59","3586.51","3553.47","3501.50","3439.75","3301.88","3301.55","2898.29","3021.08","2372.52","2491.26","3765.45","3407.57","3586.51","85.64","111.59","-25.95","24.29","21.47","18.21","54.23","49.05","59.69","-15.38","3469.20","201.90","138.66","-67.44","","0.00","58.54","201.20","","2022-09-21"
"ATLANTA","16.85","41845.00","138533.72","-1.46","-12.92","-5.87","15.81","22.99","18.03","17.80","18.92","18.46","18.93","18.45","18.32","18.07","17.21","17.70","16.24","17.45","18.77","17.21","21.21","16.65","18.93","0.12","0.53","-0.40","39.88","13.95","26.54","38.48","42.02","34.75","-179.08","20.86","1.70","1.57","-71.33","","0.00","0.00","-1.05","","2022-09-21"
"ATUL","9293.35","14701.00","40212.04","-0.62","-3.48","3.83","16.52","-3.63","9339.32","9342.31","9359.11","9340.43","9277.10","9297.58","9279.15","9184.54","9039.01","9072.32","8618.48","8952.77","9016.79","8872.39","9665.49","8888.71","9277.10","94.15","118.23","-24.08","21.96","20.52","19.32","51.94","29.11","26.05","-15.20","9745.26","215.15","246.66","-67.46","","12.42","12.72","342.60","","2022-09-21"
"ATULAUTO","205.45","477028.00","110915.42","0.64","6.09","17.23","28.81","2.24","196.45","198.64","193.27","193.93","191.59","191.25","185.36","187.21","181.54","184.26","176.54","181.61","182.60","183.74","202.50","180.68","191.59","5.05","4.25","0.80","36.29","30.64","8.64","71.41","68.95","44.12","256.12","186.71","8.35","7.82","-24.80","","100.00","66.67","30.20","","2022-09-21"
"AUBANK","666.00","1549475.00","1906961.58","-0.03","-1.71","4.57","6.82","19.31","665.02","664.41","660.22","660.02","654.26","654.85","647.70","645.40","625.24","638.54","623.07","631.37","621.00","617.43","680.37","628.15","654.26","10.25","10.82","-0.57","27.10","28.34","18.12","58.49","48.09","37.10","65.11","644.10","14.65","17.22","-43.78","","30.65","20.65","29.10","","2022-09-21"
"AUBANK-1M","668.35","1783000.00","3259240.00","0.14","-1.83","4.90","8.71","19.35","666.65","666.30","662.70","662.11","656.76","656.82","649.27","646.89","625.84","639.55","622.40","631.83","621.22","620.10","682.25","631.27","656.76","10.56","11.39","-0.83","30.65","29.89","17.42","58.86","48.08","35.96","61.12","646.80","14.35","16.79","-44.32","","31.95","20.56","31.20","","2022-09-21"
"AURIONPRO","418.00","269871.00","115379.12","2.06","0.94","26.94","65.94","113.97","403.31","404.34","380.40","385.74","365.62","373.07","349.75","355.13","330.15","342.24","311.73","326.48","312.58","298.61","434.42","296.82","365.62","23.43","19.45","3.99","29.92","32.43","16.48","67.72","61.69","42.23","85.90","369.94","34.80","23.59","-16.38","","50.85","30.27","88.70","","2022-09-21"
"AUROPHARMA","525.10","1249210.00","1320294.74","-1.57","-4.91","-4.83","1.81","-29.63","531.66","531.54","540.08","538.80","542.31","542.53","554.34","546.37","552.49","549.40","542.71","561.35","611.80","610.79","562.28","522.34","542.31","-6.46","-4.46","-2.00","16.39","13.02","21.83","39.80","19.85","16.46","-116.38","550.23","15.80","14.29","-81.68","","40.92","31.69","-26.65","","2022-09-21"
"AUROPHARMA-1M","526.65","2352000.00","2772720.00","-1.58","-4.82","-4.61","1.96","-29.42","533.17","533.13","542.16","540.61","544.42","544.36","556.17","548.09","553.95","550.97","543.67","562.69","612.90","612.02","564.47","524.37","544.42","-6.46","-4.30","-2.16","16.24","12.12","20.62","39.78","21.91","18.03","-116.55","552.33","16.30","14.79","-79.95","","42.42","33.03","-25.45","","2022-09-21"
"AUSOMENT","76.65","3407.00","14835.00","0.07","-1.67","4.93","20.71","8.19","76.30","76.68","78.82","77.50","78.38","77.33","76.46","76.30","75.13","75.16","71.22","73.49","71.68","71.38","83.50","73.25","78.38","0.54","1.25","-0.71","53.21","20.17","8.68","49.44","33.80","22.16","-96.62","89.15","1.70","4.70","-88.07","","88.28","51.83","3.60","","2022-09-21"
"AUTOAXLES","1974.90","10905.00","37887.54","-0.77","-5.25","6.49","27.80","61.35","2001.62","2003.89","2059.52","2024.19","2019.77","2017.09","1992.24","1990.26","1979.29","1952.78","1836.57","1866.42","1657.57","1690.24","2179.15","1860.39","2019.77","17.44","31.74","-14.30","19.26","20.94","18.91","47.11","20.61","20.45","-86.57","2223.41","63.50","94.74","-87.95","","0.00","5.98","120.30","","2022-09-21"
"AUTOIND","87.30","218662.00","164004.20","-2.08","3.93","29.53","58.87","48.72","85.63","86.12","85.63","84.11","81.35","82.25","78.40","79.15","75.85","76.35","68.62","71.86","64.41","65.33","94.16","68.54","81.35","3.55","3.43","0.12","26.19","33.35","15.16","58.96","57.83","46.25","97.52","80.60","8.00","5.67","-31.02","","68.53","55.72","19.90","","2022-09-21"
"AVADHSUGAR","542.60","170548.00","100043.52","-1.67","-0.66","7.71","5.09","29.98","537.41","540.80","542.57","538.92","536.12","537.37","529.07","537.84","539.56","543.06","553.44","558.31","589.79","551.20","564.83","507.40","536.12","2.22","1.55","0.67","14.67","22.54","17.11","52.11","56.06","47.13","48.47","517.10","28.90","21.58","-54.38","","66.43","64.99","38.85","","2022-09-21"
"AVANTIFEED","478.75","190750.00","279751.92","-1.90","-3.66","3.83","16.88","-13.63","493.73","488.54","486.73","486.70","479.00","482.90","479.28","476.24","469.65","470.42","451.00","465.65","483.83","478.88","512.41","445.59","479.00","7.35","7.53","-0.18","31.61","26.37","17.76","49.65","4.07","7.60","-19.93","468.54","20.40","16.84","-74.68","","0.00","0.00","17.65","","2022-09-21"
"AVTNPL","105.25","102416.00","206009.18","-0.80","-5.77","-0.80","17.40","27.50","107.40","107.03","108.72","107.72","108.19","106.86","103.60","104.71","100.62","103.03","97.87","101.04","97.15","95.49","113.56","102.83","108.19","1.87","2.79","-0.92","29.31","19.66","15.25","49.00","11.57","17.58","-112.44","102.88","4.55","4.54","-91.03","","0.00","2.08","-0.85","","2022-09-21"
"AWHCL","309.20","141920.00","122444.58","-3.86","-10.67","-4.09","14.05","-21.66","324.93","323.98","343.51","334.58","341.27","335.33","334.27","330.85","324.02","324.25","303.23","313.00","297.09","305.04","371.07","311.47","341.27","0.19","6.08","-5.89","27.30","14.34","29.41","35.58","1.74","1.92","-174.44","360.64","15.85","13.36","-98.03","","0.00","0.00","-13.20","","2022-09-21"
"AXISBANK","806.55","6567084.00","8487153.74","-0.76","0.44","8.72","26.98","-0.10","799.34","802.12","787.11","788.79","772.27","778.92","762.02","762.52","742.92","748.76","705.18","732.45","720.90","722.44","825.00","719.53","772.27","18.93","16.96","1.98","22.12","32.38","18.62","66.05","79.01","70.80","86.79","782.52","12.65","16.08","-12.51","","48.10","55.87","64.70","","2022-09-21"
"AXISBANK-1M","806.90","9130800.00","14443464.00","-0.66","0.39","8.81","26.88","-0.13","800.39","802.71","788.43","789.94","774.12","780.27","763.82","763.96","744.37","750.19","706.32","733.82","722.19","723.79","824.74","723.50","774.12","18.61","16.87","1.74","23.40","32.44","17.95","66.28","76.83","66.95","84.32","785.08","11.65","15.71","-12.81","","50.43","55.24","65.30","","2022-09-21"
"AXISBNKETF","414.88","652.00","1815.10","-0.88","-0.89","7.47","25.68","10.33","414.86","414.60","409.60","409.76","404.26","405.43","397.88","397.32","386.82","389.82","367.83","379.22","367.02","369.17","422.67","385.84","404.26","8.56","8.42","0.14","42.54","35.99","16.80","64.77","44.84","43.35","73.84","392.46","6.00","7.09","-27.96","","0.00","15.77","28.85","","2022-09-21"
"AXISBPSETF","10.48","8169.00","286536.54","0.10","-0.19","0.19","2.34","1.35","10.48","10.48","10.51","10.49","10.50","10.49","10.47","10.47","10.44","10.45","10.37","10.42","10.42","10.38","10.55","10.45","10.50","0.01","0.02","-0.01","64.44","14.51","7.91","50.66","23.80","13.53","-127.27","10.66","0.02","0.04","-80.00","","52.61","17.54","0.02","","2022-09-21"
"AXISCADES","177.25","160641.00","134296.28","2.10","8.08","30.00","48.14","146.35","178.26","175.07","162.53","164.96","154.39","158.51","145.96","150.25","138.56","144.83","134.45","137.57","123.32","123.24","186.14","122.63","154.39","11.69","9.11","2.57","41.35","33.86","13.12","66.84","45.24","58.24","83.08","160.49","9.75","10.70","-30.34","","15.83","38.61","40.90","","2022-09-21"
"AXISGOLD","42.72","55944.00","51717.06","0.31","-1.34","-3.17","-3.09","6.11","42.68","42.76","43.23","43.13","43.48","43.35","43.89","43.58","43.79","43.70","43.87","43.76","43.44","43.43","44.58","42.38","43.48","-0.37","-0.26","-0.11","28.31","11.69","31.94","34.29","39.19","23.88","-97.61","44.12","0.42","0.39","-74.55","","91.81","50.63","-1.40","","2022-09-21"
"AXISHCETF","80.20","7059.00","7748.86","-1.68","-0.73","1.01","6.71","-11.47","79.77","80.16","80.20","80.17","80.11","80.19","80.57","80.08","80.14","79.93","78.79","80.01","81.61","81.66","81.56","78.67","80.11","0.00","0.03","-0.03","53.58","28.54","5.49","50.27","19.96","14.95","-21.50","77.61","1.73","3.39","-81.65","","59.37","53.12","0.80","","2022-09-21"
"AXISNIFTY","188.57","4941.00","7316.88","-0.42","-1.49","1.86","15.91","2.57","188.44","188.74","188.81","188.53","187.95","187.87","187.28","185.97","183.21","183.96","177.17","181.22","179.36","178.06","191.73","184.17","187.95","1.50","1.89","-0.40","26.33","26.17","23.08","54.67","48.63","38.26","-0.20","185.61","2.18","2.62","-51.95","","41.67","33.00","3.45","","2022-09-21"
"AXISTECETF","276.23","2433.00","3773.38","-0.58","-4.63","-8.96","0.91","-24.27","278.45","279.57","286.51","285.01","287.89","287.61","295.24","290.20","291.87","292.23","291.81","298.77","328.07","309.68","302.46","273.31","287.89","-4.47","-2.78","-1.69","19.97","16.97","27.90","36.67","9.12","8.27","-120.89","299.57","2.35","7.56","-92.64","","23.32","20.31","-27.20","","2022-09-21"
"AYMSYNTEX","84.25","45584.00","34950.68","-1.46","-3.82","0.06","-3.27","-14.98","86.13","85.94","88.65","87.30","88.50","87.40","86.28","87.50","86.49","88.39","89.82","91.95","104.57","95.55","93.42","83.58","88.50","-0.14","0.51","-0.66","13.72","15.01","15.68","40.93","7.27","13.74","-124.36","91.20","3.00","3.82","-97.49","","0.00","0.00","0.05","","2022-09-21"
"BAFNAPH","102.40","991.00","1831.02","-0.34","-5.97","-11.34","-12.37","-20.93","104.62","104.40","108.32","107.54","110.54","108.99","111.45","110.60","111.24","112.06","115.07","115.54","126.50","122.28","118.84","102.24","110.54","-2.53","-1.47","-1.06","18.51","8.66","19.95","25.95","36.20","33.07","-146.00","110.65","5.20","5.51","-78.23","","0.00","0.00","-13.10","","2022-09-21"
"BAGFILMS","6.65","97295.00","439051.68","-3.62","4.72","17.70","27.88","107.81","6.55","6.62","6.56","6.57","6.72","6.51","6.26","6.38","6.16","6.29","6.05","6.18","5.93","5.71","7.73","5.71","6.72","0.13","0.16","-0.03","20.93","28.32","19.42","53.56","74.41","80.70","10.38","7.35","0.40","0.42","-73.33","","58.52","86.17","1.00","","2022-09-21"
"BAJAJ-AUTO","3730.60","197924.00","412538.08","-1.01","-3.11","-7.69","2.80","-2.40","3733.00","3752.31","3821.46","3820.42","3904.21","3861.50","3959.94","3895.20","3952.96","3896.73","3870.51","3858.83","3663.38","3764.87","4164.31","3644.11","3904.21","-69.16","-46.00","-23.16","28.82","13.92","27.05","32.66","33.23","27.19","-88.65","3899.98","83.45","80.33","-84.27","","77.72","67.38","-311.00","","2022-09-21"
"BAJAJ-AUTO-1M","3720.75","340000.00","646135.00","-0.93","-3.09","-7.70","6.57","-2.87","3725.52","3743.99","3811.70","3812.29","3895.59","3853.52","3954.11","3885.00","3948.66","3882.04","3828.55","3837.29","3642.66","3744.49","4158.57","3632.61","3895.59","-68.82","-45.34","-23.48","27.27","15.36","29.54","33.46","34.02","28.83","-89.45","3900.91","75.85","77.47","-85.03","","74.59","64.64","-310.30","","2022-09-21"
"BAJAJCON","161.15","330023.00","661321.70","-0.43","-2.75","1.64","22.41","-37.83","161.86","162.08","162.64","162.45","162.19","162.25","162.48","161.09","161.51","159.62","151.56","159.04","165.17","170.67","166.39","157.99","162.19","0.61","1.00","-0.38","32.97","20.75","15.84","48.89","33.19","33.56","-33.15","158.20","5.20","4.43","-75.81","","38.80","36.33","2.60","","2022-09-21"
"BAJAJELEC","1120.70","153865.00","125601.68","-0.98","-5.35","-10.04","24.09","-24.83","1139.21","1140.90","1183.29","1169.20","1198.02","1176.85","1186.80","1171.39","1169.82","1156.13","1085.97","1129.45","1115.89","1103.35","1274.00","1122.04","1198.02","-9.55","5.05","-14.59","27.01","7.56","26.19","35.93","30.40","26.93","-163.44","1214.52","66.75","43.33","-77.16","","21.06","29.12","-125.10","","2022-09-21"
"BAJAJFINSV","1802.00","2080898.00","4460428.04","0.13","-0.19","13.54","53.30","7.01","1774.93","1782.17","1752.11","1750.49","1722.13","1718.21","1664.31","1650.23","1543.19","1589.13","1395.54","1519.77","1515.46","1479.98","1839.98","1604.28","1722.13","66.24","70.94","-4.70","45.63","34.02","14.66","67.00","78.86","60.43","104.06","1722.56","41.95","53.93","-25.77","","99.63","57.37","214.83","","2022-09-21"
"BAJAJFINSV-1M","1784.60","3130000.00","4269880.00","0.19","1.06","12.15","51.59","5.63","1757.93","1764.77","1742.48","1738.53","1717.56","1709.82","1663.25","1645.62","1543.05","1586.60","1396.29","1519.47","1518.18","1481.63","1817.52","1617.61","1717.56","60.03","66.52","-6.49","43.24","31.12","15.05","67.75","78.16","68.76","159.73","1703.39","52.95","50.46","-21.85","","100.00","68.68","193.35","","2022-09-21"
"BAJAJHIND","11.25","11088583.00","11227619.04","-2.17","0.45","15.98","-10.36","-28.57","11.21","11.25","11.42","11.15","10.93","11.06","10.70","11.09","11.01","11.34","12.17","12.10","14.13","13.04","12.40","9.46","10.93","0.13","0.09","0.04","16.27","26.26","21.16","53.12","48.60","39.83","8.05","10.84","0.60","0.55","-44.19","","53.70","51.23","1.55","","2022-09-21"
"BAJAJHLDNG","6941.10","73566.00","104039.68","-0.34","-2.84","28.54","55.22","57.79","6932.25","6894.68","6566.29","6590.77","6191.41","6349.16","5850.62","6012.45","5546.43","5777.06","5228.21","5497.55","5240.52","5156.85","7490.18","4892.64","6191.41","445.19","387.85","57.33","59.46","37.88","6.29","73.41","37.78","38.26","63.23","6637.25","110.00","265.05","-24.33","","12.57","13.28","1541.20","","2022-09-21"
"BAJFINANCE","7690.65","1239262.00","1225725.98","0.72","2.77","8.29","41.91","3.52","7496.51","7543.44","7352.07","7403.34","7275.27","7325.86","7288.18","7165.71","6966.35","7003.64","6421.26","6796.68","6733.81","6650.89","7648.28","6902.26","7275.27","157.44","136.85","20.59","24.35","26.78","14.33","66.33","90.79","79.58","165.72","7174.24","148.95","193.64","-6.67","","100.00","90.27","588.45","","2022-09-21"
"BAJFINANCE-1M","7695.40","1651000.00","1606165.00","0.75","2.63","8.10","42.08","3.22","7506.49","7553.36","7377.08","7422.35","7302.00","7347.56","7314.95","7187.70","6988.16","7023.89","6431.62","6813.52","6747.09","6665.06","7656.90","6947.10","7302.00","153.47","137.01","16.45","23.28","25.71","14.36","65.87","87.42","76.74","166.43","7211.80","169.30","199.46","-9.38","","100.00","90.17","576.45","","2022-09-21"
"BALAJITELE","52.20","147983.00","351520.46","-1.60","-6.45","-2.52","17.70","-15.94","53.51","53.12","53.61","53.31","53.39","52.89","51.73","51.89","49.67","51.41","49.36","52.52","59.92","56.78","55.73","51.05","53.39","0.91","1.29","-0.38","35.26","20.39","16.30","49.32","13.38","24.17","-132.59","51.63","2.15","2.44","-85.27","","0.00","0.00","-1.35","","2022-09-21"
"BALAMINES","3568.50","42724.00","119584.50","-1.46","-3.03","2.54","27.20","-25.36","3613.25","3598.92","3585.00","3588.56","3551.80","3568.30","3575.49","3513.75","3455.92","3449.31","3231.86","3345.47","3199.08","3206.57","3732.37","3371.24","3551.80","44.49","50.57","-6.09","16.56","23.90","22.88","51.83","21.84","21.44","3.24","3830.15","93.35","122.59","-58.99","","0.91","9.18","88.25","","2022-09-21"
"BALAXI","566.55","3008.00","10640.42","-2.70","-9.32","28.79","67.87","-2.91","598.49","593.96","630.67","600.07","591.83","582.23","528.04","545.08","484.52","514.96","442.04","479.32","448.56","474.18","728.57","455.10","591.83","36.49","49.13","-12.63","48.45","29.71","18.42","50.85","5.97","5.64","-138.52","691.53","18.25","38.41","-86.61","","0.00","0.00","126.65","","2022-09-21"
"BALKRISHNA","36.90","10729.00","9569.62","-1.47","-5.38","-0.14","19.03","55.37","38.01","37.69","38.09","37.95","37.72","37.93","37.90","37.89","38.60","37.96","37.35","38.33","40.09","37.03","40.01","35.42","37.72","0.04","0.12","-0.08","10.89","9.62","16.48","44.33","14.97","15.93","-63.77","40.56","2.15","2.14","-69.03","","0.00","0.00","-0.05","","2022-09-21"
"BALKRISIND","1923.85","458709.00","462117.56","1.15","-1.89","-9.14","-7.58","-22.74","1936.13","1931.36","1969.43","1970.67","1995.88","2003.68","2086.76","2054.86","2152.48","2088.65","2164.30","2122.92","2153.60","2140.72","2104.13","1887.63","1995.88","-62.66","-60.34","-2.32","31.78","13.29","23.35","36.28","19.26","15.87","-112.64","2029.16","43.05","57.48","-75.27","","30.44","18.11","-193.55","","2022-09-21"
"BALKRISIND-1M","1923.75","697800.00","729798.00","0.80","-2.03","-9.13","-7.23","-22.92","1940.78","1935.13","1976.11","1976.26","2003.43","2009.57","2092.08","2060.53","2157.77","2093.90","2167.99","2127.41","2156.91","2144.59","2114.56","1892.31","2003.43","-63.02","-59.82","-3.21","32.14","13.63","24.09","35.41","17.14","15.23","-115.57","2034.68","41.25","59.23","-78.39","","20.82","17.90","-193.20","","2022-09-21"
"BALMLAWRIE","115.15","213611.00","255022.30","-1.96","-10.91","-5.27","7.72","-17.37","121.60","120.07","125.59","123.31","124.99","123.31","122.40","121.86","118.74","120.33","115.57","118.71","118.92","119.24","133.07","116.90","124.99","0.42","2.20","-1.77","42.07","19.79","34.64","29.12","11.67","8.56","-187.23","132.17","6.05","3.32","-86.07","","0.00","0.00","-6.40","","2022-09-21"
"BALPHARMA","94.05","38278.00","33785.96","-2.64","-4.95","-1.72","0.16","-9.91","96.21","96.07","97.81","96.99","96.86","97.10","97.26","97.19","97.37","97.52","97.31","99.05","106.07","100.30","101.13","92.60","96.86","-0.18","0.14","-0.32","12.29","15.15","20.47","40.84","14.16","11.40","-105.10","103.05","5.10","3.22","-90.00","","0.00","11.80","-1.65","","2022-09-21"
"BALRAMCHIN","373.60","4905191.00","2684843.04","-1.12","0.97","9.24","2.38","4.37","369.37","371.43","372.06","368.84","364.71","366.64","358.98","365.42","363.94","367.56","372.76","376.28","400.67","377.88","388.68","340.74","364.71","3.59","2.85","0.74","15.78","24.31","21.29","54.58","72.18","61.08","49.05","350.60","17.70","12.96","-34.84","","76.40","67.83","31.60","","2022-09-21"
"BANARBEADS","78.50","2278.00","19754.36","0.13","-2.00","-3.62","10.72","20.77","78.54","78.61","78.90","78.82","79.24","78.59","77.73","77.86","76.53","77.37","74.83","77.58","81.85","77.65","81.29","77.19","79.24","0.55","0.89","-0.33","25.52","19.89","12.35","51.10","12.53","8.31","-87.76","86.30","1.15","2.97","-78.40","","35.92","24.19","-2.95","","2022-09-21"
"BANARISUG","2970.25","1062.00","2441.00","-0.63","-1.37","8.97","36.72","35.37","2979.94","2970.20","2919.59","2921.79","2873.66","2870.58","2766.78","2774.87","2613.17","2696.87","2499.25","2601.94","2550.49","2469.24","3057.95","2689.38","2873.66","101.74","105.78","-4.04","49.86","24.14","8.86","65.38","45.12","55.93","70.98","2806.61","93.10","98.77","-27.97","","0.00","7.84","244.40","","2022-09-21"
"BANCOINDIA","197.30","184237.00","407062.92","-2.16","-3.59","-12.78","23.85","-3.00","201.05","201.05","211.13","210.00","227.08","213.16","217.02","211.43","206.14","205.78","186.24","193.45","170.34","178.52","277.54","176.62","227.08","-4.06","1.08","-5.14","37.58","15.85","35.05","39.16","21.33","21.59","-79.66","225.06","7.85","9.91","-96.98","","35.32","36.85","-28.90","","2022-09-21"
"BANDHANBNK","289.05","4882543.00","7752683.88","-1.45","-5.71","3.75","-6.88","0.63","293.00","292.01","291.87","291.20","289.09","289.50","285.01","287.63","283.03","287.74","292.08","290.59","295.58","296.58","306.23","271.95","289.09","3.04","3.07","-0.02","11.78","26.26","25.42","50.58","7.94","12.13","-12.61","282.65","7.25","9.95","-65.27","","0.00","7.67","10.45","","2022-09-21"
"BANDHANBNK-1M","289.05","6589800.00","10691460.00","-1.82","-5.95","3.75","-7.00","0.57","293.78","292.69","292.93","292.10","290.14","290.42","285.99","288.53","283.86","288.58","292.67","291.33","296.25","297.26","306.85","273.43","290.14","3.00","3.13","-0.12","12.95","25.88","24.34","49.90","7.69","12.23","-20.87","283.56","7.65","10.19","-66.75","","0.00","7.71","10.45","","2022-09-21"
"BANG","44.45","12461.00","38505.92","1.48","-1.77","-2.63","11.40","29.03","44.54","44.44","45.43","44.85","45.40","44.68","43.88","44.03","42.33","43.51","42.05","42.83","41.11","40.87","47.94","42.86","45.40","0.44","0.86","-0.42","29.98","20.76","15.90","50.37","37.97","26.58","-91.46","47.92","1.15","2.41","-69.17","","44.11","19.85","-1.20","","2022-09-21"
"BANKA","72.60","6680.00","22906.98","1.26","-1.02","1.97","15.06","-8.28","71.45","72.46","74.97","73.52","74.04","73.73","73.85","73.62","73.96","73.37","71.78","73.22","74.06","72.82","80.84","67.25","74.04","-0.28","0.26","-0.54","18.09","16.84","23.24","47.52","64.89","44.44","-45.27","85.31","2.00","4.65","-74.47","","100.00","73.35","1.40","","2022-09-21"
"BANKBARODA","141.35","20073329.00","26091555.52","-0.18","0.64","19.53","48.71","71.75","140.26","140.48","138.24","137.69","134.83","134.99","129.21","130.08","123.84","125.70","113.22","118.91","106.78","108.30","145.81","123.86","134.83","5.31","5.35","-0.04","29.81","24.05","18.19","69.27","76.69","71.66","95.83","134.88","3.25","4.05","-16.54","","61.15","58.68","23.10","","2022-09-21"
"BANKBARODA-1M","141.70","23183550.00","36015759.00","-0.25","0.46","19.78","48.53","71.97","140.58","140.84","138.73","138.11","135.27","135.40","129.60","130.44","124.18","125.98","113.06","119.05","106.83","108.37","146.40","124.15","135.27","5.33","5.41","-0.08","32.00","24.32","18.42","68.80","77.47","71.06","89.43","135.49","3.50","4.11","-15.81","","58.37","54.49","23.40","","2022-09-21"
"BANKBEES","416.52","591794.00","861386.50","-0.61","-0.66","7.52","25.94","9.73","415.76","415.68","410.76","410.90","405.42","406.62","399.16","398.56","388.10","391.10","369.24","380.59","368.48","370.03","423.86","386.98","405.42","8.48","8.36","0.12","29.36","19.39","44.30","65.68","90.78","84.67","86.40","421.18","6.95","10.77","-10.36","","14.97","22.90","29.14","","2022-09-21"
"BANKINDIA","51.75","2279941.00","3504157.86","-0.86","-2.45","6.15","24.25","-11.16","52.12","52.08","52.04","51.93","51.74","51.56","50.75","50.76","49.68","50.04","47.81","49.31","49.53","50.59","53.45","50.04","51.74","0.76","0.89","-0.13","24.96","23.60","20.05","53.47","26.92","33.31","-3.38","54.31","1.15","1.53","-69.23","","16.99","34.73","3.00","","2022-09-21"
"BANKNIFTY","41203.45","58935.11","56268.91","-0.64","-0.49","7.59","25.84","8.97","41112.43","41114.39","40612.88","40629.97","40073.98","40205.04","39469.27","39413.08","38388.03","38684.87","36543.87","37667.92","36529.21","36666.34","41926.86","38221.10","40073.98","839.07","820.75","18.32","36.23","34.69","18.18","65.86","55.68","51.63","77.51","40509.90","612.55","648.44","-24.12","","17.01","26.63","2905.70","","2022-09-21"
"BANKNIFTY-1M","41244.95","4049425.00","3640835.50","-0.60","-0.48","7.60","25.79","8.97","41162.23","41160.35","40693.38","40698.57","40172.91","40279.37","39545.81","39485.64","38448.29","38752.55","36591.33","37729.55","36593.03","36729.37","41957.90","38387.92","40172.91","831.44","825.15","6.30","36.27","33.30","17.65","65.67","56.28","53.78","77.33","40591.05","610.00","657.98","-23.99","","16.29","25.61","2912.10","","2022-09-21"
"BANSWRAS","104.25","49881.00","64718.56","0.72","-3.38","-16.85","8.59","25.78","105.49","105.71","111.11","109.90","113.88","112.10","117.58","113.80","116.44","114.15","111.17","114.18","117.75","110.81","125.74","102.02","113.88","-3.66","-2.17","-1.48","29.56","11.98","24.81","32.76","36.43","23.12","-100.65","113.05","6.15","5.33","-80.32","","29.79","9.93","-21.13","","2022-09-21"
"BARBEQUE","1039.40","55991.00","111543.72","-1.41","-6.03","-4.84","2.34","-10.30","1055.62","1060.36","1118.45","1095.92","1122.21","1107.92","1131.76","1113.71","1123.33","1112.42","1072.36","1117.02","1198.36","1116.59","1213.67","1030.74","1122.21","-19.03","-4.52","-14.50","23.47","13.20","23.11","34.56","17.89","13.06","-112.85","1174.38","36.45","43.19","-91.07","","44.83","34.42","-52.90","","2022-09-21"
"BARTRONICS","4.40","17874.00","26680.02","3.53","1.15","1.15","11.39","46.67","4.23","4.28","4.29","4.29","4.22","4.32","4.50","4.39","4.54","4.47","4.52","4.68","5.78","4.91","4.58","3.86","4.22","-0.07","-0.09","0.02","16.21","24.89","20.07","51.46","75.78","38.37","50.51","4.68","0.20","0.22","-41.18","","100.00","59.71","0.05","","2022-09-21"
"BASF","2933.25","46691.00","52799.02","-1.69","-7.51","-9.61","17.43","-14.37","3011.49","3007.10","3123.29","3093.71","3188.08","3112.05","3154.20","3081.56","3009.99","3025.55","2810.38","2935.61","2846.06","2847.99","3437.62","2938.54","3188.08","-17.58","31.25","-48.83","33.82","15.89","25.42","34.83","4.94","7.36","-155.34","3154.35","78.85","97.85","-96.92","","0.00","0.52","-312.00","","2022-09-21"
"BASML","60.80","328115.00","127676.60","5.01","-0.82","6.85","16.48","-1.62","59.51","59.75","61.16","60.08","60.45","59.77","58.35","59.09","57.54","58.99","57.84","60.68","69.96","65.24","63.95","56.94","60.45","0.66","1.08","-0.41","14.42","18.04","18.09","54.80","46.70","19.55","-66.43","63.62","3.40","2.78","-60.71","","74.61","24.87","3.90","","2022-09-21"
"BATAINDIA","1877.35","381671.00","405822.66","1.25","-1.21","1.14","14.71","5.20","1862.14","1869.90","1890.12","1883.18","1890.95","1886.95","1903.05","1882.62","1882.54","1873.09","1823.26","1860.41","1867.39","1840.95","1948.32","1833.57","1890.95","-4.23","2.95","-7.18","14.45","23.77","20.14","48.51","50.22","31.15","-60.89","1974.86","57.25","51.42","-63.58","","96.10","45.19","21.25","","2022-09-21"
"BATAINDIA-1M","1881.20","584925.00","724779.00","1.11","-1.43","1.25","14.70","5.06","1866.32","1874.95","1897.53","1889.27","1898.21","1892.74","1906.49","1887.34","1884.54","1877.04","1825.89","1863.74","1870.92","1844.32","1959.67","1836.75","1898.21","-3.48","4.60","-8.08","15.00","22.61","21.01","48.30","48.94","28.96","-62.24","1984.59","58.10","53.63","-64.29","","96.02","48.35","23.25","","2022-09-21"
"BAYERCROP","4852.75","5305.00","16175.90","-0.97","-6.24","-7.01","-1.52","-9.39","4912.31","4925.41","5113.39","5064.03","5193.10","5126.38","5248.37","5176.53","5260.27","5180.96","5166.07","5133.53","4933.70","5070.02","5562.35","4823.86","5193.10","-104.79","-54.99","-49.80","25.58","11.97","31.73","30.04","19.11","18.06","-121.64","5326.19","98.20","129.80","-88.78","","35.81","30.19","-365.80","","2022-09-21"
