"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"VISHAL","25.95","154029.00","278657.42","-0.57","-3.35","7.23","-3.71","-38.55","26.18","26.26","26.96","26.42","26.33","26.27","25.64","26.12","25.37","26.35","27.07","27.57","32.07","30.07","28.58","24.08","26.33","0.27","0.40","-0.13","20.45","18.52","17.53","47.58","14.36","15.82","-75.31","29.58","0.50","1.08","-84.95","","0.00","0.00","1.75","","2022-09-21"
"VISHNU","2009.70","29227.00","32369.66","-0.17","0.68","11.51","45.91","179.61","1980.36","1994.66","2020.20","1986.78","1996.41","1957.36","1878.33","1883.46","1751.95","1811.78","1621.82","1688.42","1414.12","1428.65","2111.63","1881.20","1996.41","63.89","83.40","-19.51","26.22","20.96","18.83","58.69","69.53","54.34","8.03","2119.45","67.75","94.43","-57.25","","92.84","78.52","207.50","","2022-09-21"
"VISHWARAJ","18.10","875265.00","516226.76","1.12","-0.55","6.47","10.70","-33.28","17.91","17.98","18.17","17.96","17.81","17.88","17.64","17.78","17.67","17.81","17.69","18.36","21.09","20.68","18.96","16.66","17.81","0.15","0.17","-0.02","16.24","25.10","18.91","54.65","45.97","30.29","18.24","19.08","1.10","0.60","-53.85","","84.96","45.41","1.10","","2022-09-21"
"VIVIDHA","1.35","1038910.00","1600203.30","-3.57","-10.00","3.85","0.00","68.75","1.40","1.39","1.40","1.39","1.37","1.38","1.35","1.37","1.34","1.38","1.41","1.43","1.67","1.45","1.53","1.21","1.37","0.02","0.02","0.00","45.01","23.66","9.00","47.99","5.36","15.17","-22.22","1.69","0.10","0.12","-77.78","","0.00","0.00","0.05","","2022-09-21"
"VIVIMEDLAB","10.40","96620.00","177728.40","-2.35","-1.89","4.00","-0.95","-52.18","10.73","10.62","10.49","10.51","10.22","10.42","10.23","10.40","10.31","10.58","10.97","11.47","15.19","14.06","11.31","9.14","10.22","0.14","0.09","0.05","27.68","28.04","15.30","50.23","8.60","22.82","14.12","10.10","0.55","0.49","-53.49","","0.00","10.85","0.40","","2022-09-21"
"VLSFINANCE","148.85","18811.00","39114.62","-1.13","-3.87","3.58","5.94","-24.50","151.23","150.32","149.00","149.52","147.92","148.86","148.12","148.21","147.22","148.38","147.53","151.38","167.21","157.89","154.50","141.34","147.92","1.15","0.86","0.29","25.89","17.14","10.74","50.75","11.96","31.18","19.93","142.14","5.10","6.19","-59.42","","0.00","11.66","5.15","","2022-09-21"
"VMART","2935.10","26170.00","50918.02","-0.59","2.26","-1.62","14.15","-14.26","2900.26","2916.57","2891.47","2908.19","2917.13","2909.21","2939.81","2901.06","2886.89","2898.84","2858.71","2951.20","3260.67","3105.33","3008.63","2825.64","2917.13","1.40","1.84","-0.44","14.24","24.50","18.78","53.91","71.72","70.31","64.61","3054.72","51.05","84.32","-45.45","","83.87","94.62","-48.40","","2022-09-21"
"VOLTAMP","2550.50","27013.00","43927.64","1.47","5.23","-6.16","2.92","79.34","2530.29","2520.09","2516.44","2557.89","2606.20","2624.00","2830.85","2720.12","2968.98","2749.11","2732.33","2672.58","2306.21","2364.75","2880.21","2332.18","2606.20","-124.89","-138.12","13.23","28.47","18.70","26.90","41.98","58.94","50.58","-5.49","2585.96","73.00","116.23","-61.82","","100.00","82.87","-167.50","","2022-09-21"
"VOLTAS","904.40","1227816.00","1267540.46","-0.63","-5.33","-7.45","-5.33","-27.89","917.38","917.61","951.88","943.05","965.29","955.37","979.22","968.73","984.38","979.83","985.31","1009.13","1114.65","1057.89","1029.48","901.11","965.29","-21.47","-13.28","-8.19","21.58","12.10","33.44","32.66","26.99","25.42","-120.23","975.11","22.35","25.20","-80.39","","23.51","18.48","-72.75","","2022-09-21"
"VOLTAS-1M","904.90","1479000.00","2059840.00","-0.59","-5.63","-7.17","-4.53","-27.69","918.86","919.06","955.34","945.51","968.07","957.87","981.46","970.87","986.26","981.43","984.86","1009.74","1113.59","1057.76","1033.01","903.12","968.07","-21.43","-12.72","-8.71","30.25","10.15","34.85","32.26","26.52","25.19","-119.85","962.71","20.80","25.32","-80.34","","18.42","14.84","-69.85","","2022-09-21"
"VRLLOG","653.85","182605.00","266908.32","0.24","5.65","9.42","16.00","90.05","648.49","645.72","627.59","633.65","624.53","629.57","619.08","626.95","633.28","623.99","625.13","608.66","544.92","547.36","654.99","594.07","624.53","6.52","1.51","5.01","16.81","23.32","10.74","62.78","72.15","70.90","134.29","601.51","18.60","22.63","-19.54","","100.00","93.61","56.30","","2022-09-21"
"VSSL","255.05","35910.00","32232.08","1.27","-1.32","8.14","21.05","1.86","254.69","254.05","251.98","251.80","248.48","249.55","245.55","245.86","241.19","242.95","233.62","240.08","241.28","235.98","261.77","235.19","248.48","4.30","4.14","0.16","22.07","22.75","23.98","59.66","70.00","64.79","27.34","267.46","13.20","10.55","-35.86","","26.62","11.47","19.20","","2022-09-21"
"VSTIND","3251.15","6872.00","6282.00","0.64","1.38","2.86","7.45","-6.53","3223.69","3231.08","3219.10","3225.58","3220.91","3228.32","3269.46","3229.30","3244.01","3223.28","3195.12","3206.09","3149.28","3209.77","3261.92","3179.91","3220.91","-4.41","-7.61","3.21","17.59","21.36","12.90","53.79","60.05","53.21","125.16","3141.23","58.00","64.72","-37.58","","100.00","100.00","90.40","","2022-09-21"
"VSTTILLERS","2490.35","2748.00","7799.52","0.03","0.21","5.06","-1.02","-4.80","2482.23","2490.66","2515.67","2498.33","2508.05","2500.25","2486.34","2506.51","2527.49","2514.86","2531.92","2535.52","2623.75","2545.92","2578.76","2437.34","2508.05","-4.63","-2.48","-2.15","17.43","15.32","13.31","48.00","49.99","44.09","-65.28","2587.59","43.45","65.35","-73.49","","78.18","81.96","119.85","","2022-09-21"
"VTL","352.95","472507.00","911045.68","-3.29","2.13","4.78","38.01","-7.70","357.42","355.61","344.13","347.10","339.95","341.39","330.80","332.68","319.88","328.04","304.72","333.65","396.74","353.44","362.72","317.19","339.95","10.82","9.29","1.53","37.76","27.99","11.58","64.02","45.84","71.54","96.84","347.48","19.75","13.02","-46.25","","0.00","63.66","16.10","","2022-09-21"
"WABAG","288.20","267594.00","309491.36","-2.78","4.59","17.18","19.31","-17.89","287.93","287.93","282.29","280.86","273.66","275.56","263.69","267.99","257.34","263.32","249.07","262.05","279.34","272.10","301.42","245.91","273.66","9.84","8.76","1.08","36.25","30.58","14.79","62.59","55.94","67.99","121.87","273.90","11.80","11.34","-47.40","","28.30","69.66","42.25","","2022-09-21"
